Question,Option 1,Option 2,Option 3,Required,Question Type
"1. Conceitos corretos (Bloco 1)","0 - Não entendi","1 - Entendi parcialmente","2 - Compreendi","TRUE","Multiple Choice"
"2. Relações claras (Bloco 1)","0 - Não entendi","1 - Entendi parcialmente","2 - Compreendi","TRUE","Multiple Choice"
"3. Exemplos do módulo (Bloco 1)","0 - Não entendi","1 - Entendi parcialmente","2 - Compreendi","TRUE","Multiple Choice"
"4. Palavras-ligação (Bloco 1)","0 - Não entendi","1 - Entendi parcialmente","2 - Compreendi","TRUE","Multiple Choice"
"5. Clareza visual (Bloco 1)","0 - Não entendi","1 - Entendi parcialmente","2 - Compreendi","TRUE","Multiple Choice"
"6. Rotas corretas (Bloco 2)","0 - Não entendi","1 - Entendi parcialmente","2 - Compreendi","TRUE","Multiple Choice"
"7. Pontos de contato bem escolhidos (Bloco 2)","0 - Não entendi","1 - Entendi parcialmente","2 - Compreendi","TRUE","Multiple Choice"
"8. Objetivos/efeitos anotados (Bloco 2)","0 - Não entendi","1 - Entendi parcialmente","2 - Compreendi","TRUE","Multiple Choice"
"9. Coerência espacial (Bloco 2)","0 - Não entendi","1 - Entendi parcialmente","2 - Compreendi","TRUE","Multiple Choice"
"10. Legenda legível (Bloco 2)","0 - Não entendi","1 - Entendi parcialmente","2 - Compreendi","TRUE","Multiple Choice"
